set_num,name,year,theme_id,num_parts,img_key
0003977811-1,Ninjago: Book of Adventures,2022,761,1,16269
001-1,Gears,1965,756,43,16270
0011-2,Town Mini-Figures,1979,67,12,16271
0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,16272
0012-1,Space Mini-Figures,1979,143,12,16273
0013-1,Space Mini-Figures,1979,143,12,16274
0014-1,Space Mini-Figures,1982,143,2,16275
0015-1,Space Mini-Figures,1979,143,18,16276
0016-1,Castle Mini Figures,1979,189,15,16277
002-1,4.5V Samsonite Gears Motor Set,1965,756,3,16278
003-1,Master Mechanic Set,1966,756,403,16279
004-1,Master Builder Set,1966,756,817,16280
005-1,Basic Building Set in Cardboard,1965,365,35,16281
005-2,Discovery Set,1967,756,0,16282
00-6,Special Offer,1985,67,0,16283
010-1,Basic Building Set in Cardboard,1965,365,57,16284
010-2,Pre-School Set,1973,505,18,16285
010-3,Basic Building Set,1968,365,77,16286
010423-1,The Majestic Horse,2023,721,492,16287
01-1,Chain Links,1980,453,25,16288
011-1,Basic Building Set,1968,365,145,16289
01-2,Bulldozer Chain Links,1982,453,50,16290
020-1,Basic Building Set in Cardboard,1965,365,94,16291
02-1,Extra Large Tires & Hubs,1982,453,4,16292
021-1,Wheel Set,1966,756,183,16293
02-2,Digger Bucket Assembly,1980,443,3,16294
022-1,Basic Building Set,1968,365,110,16295
022-2,Doll Furniture,1965,756,0,16296
0241187567-1,Ninjago: Build Your Own Adventure,2015,761,74,16297
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,761,70,16298
028-1,Nursery Furniture,1979,652,7,16299
030-2,Building Set,1973,505,29,16300
03093-1,The Race to Build It Board Game,1999,674,77,16301
03-1,Doors and Fences,1980,443,10,16302
032-1,Living Room,1979,652,14,16303
033-1,Farm Animals,1979,632,21,16304
033-2,Basic Building Set,1968,365,177,16305
04-1,Propellers and Wheels,1980,443,13,16306
041-1,Pre-School Beginners Set,1964,369,24,16307
041-2,Playhouse,1979,652,1,16308
042-1,Jumbo Brick Pull Toy,1966,369,9,16309
044-1,Basic Building Set,1968,365,225,16310
044-2,Jumbo Bricks,1969,369,30,16311
045-1,Farm,1979,632,66,16312
045-2,Assorted Clear Bricks & Plates,1969,756,37,16313
047-1,Gates and Fences,1969,756,15,16314
049-1,Windows / Doors & Trees / Bushes,1969,756,27,16315
050-2,Lighting Device Pack,1969,756,4,16316
05-1,Hinges,1980,443,3,16317
051-1,Assorted Basic Bricks - Red,1966,756,50,16318
052-1,Assorted Basic Bricks - White,1966,756,50,16319
053-1,Assorted Basic Bricks - Blue,1966,756,50,16320
054-1,Assorted Basic Bricks - Yellow,1966,756,50,16321
055-1,Trees & Bushes,1966,756,25,16322
055-2,Basic Building Set,1968,365,256,16323
057-1,Large Wheels,1966,756,17,16324
058-1,Small Wheels,1966,756,26,16325
060-1,Assorted White Plates,1966,756,15,16326
060-3,Jumbo Brick School Set,1968,369,60,16327
06-1,Motor Wires,1980,453,6,16328
061-1,Five Large Base Plates - Green,1966,756,5,16329
